"Location_Id","Sensor_Eui","Validity_Start","Validity_End","Location","St_X","St_Y","Altitude_Masl","Roomname","Mazemap_Floor","Last_Changed"
"85","a8:17:58:ff:fe:04:1e:34","-infinity","infinity","0101000020E6100000DDD8AB092E6C1B403473E5D09B1E4A40","6.8556443701874885","52.23913012698759","None","RA4110","4","2023-06-13 14:26:49.524605+02:00"
"86","a8:17:58:ff:fe:04:81:65","-infinity","infinity","0101000020E61000007F47A34FCE6B1B4040ED0799A01E4A40","6.855279201832558","52.239276055212486","None","RA2314","2","2023-06-13 14:22:54.262747+02:00"
"87","a8:17:58:ff:fe:04:81:66","-infinity","infinity","0101000020E6100000F880DE1F836C1B40A9441C75A61E4A40","6.855968950229219","52.239454878619036","None","RA3245","3","2023-06-13 14:23:12.560111+02:00"
"88","a8:17:58:ff:fe:04:81:67","-infinity","infinity","0101000020E61000005BC1E7FD2D6C1B408172AAD09B1E4A40","6.855644194860669","52.2391300995123","None","RA3112","3","2023-06-13 14:23:09.618887+02:00"
"89","a8:17:58:ff:fe:04:81:68","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:16.854161+02:00"
"90","a8:17:58:ff:fe:04:81:69","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:17.346785+02:00"
"91","a8:17:58:ff:fe:04:81:6a","-infinity","infinity","0101000020E61000008E80599CCA6B1B4068EF93B7A81E4A40","6.855265086138514","52.239523837312674","None","RA3334","3","2023-06-13 14:23:15.065860+02:00"
"92","a8:17:58:ff:fe:04:81:6b","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:17.825692+02:00"
"93","a8:17:58:ff:fe:04:81:6d","-infinity","infinity","0101000020E6100000BF9F1A6ECE6B1B409AFA3098A01E4A40","6.855279655814171","52.239275955119595","None","RA4411","4","2023-06-13 14:26:57.820906+02:00"
"94","a8:17:58:ff:fe:04:81:6e","-infinity","infinity","0101000020E6100000670671F92D6C1B40399689D09B1E4A40","6.855644128345012","52.23913008421045","None","RA5110","5","2023-06-13 14:27:02.846290+02:00"
"95","a8:17:58:ff:fe:04:d1:f3","-infinity","infinity","0101000020E61000001C84EFF42D6C1B4024BD1DD19B1E4A40","6.855644061201954","52.23913015319911","None","RA2209","2","2023-06-13 14:22:44.711914+02:00"
"96","a8:17:58:ff:fe:04:15:f3","-infinity","infinity","0101000020E6100000A591FB19A2701B40EB5C0FE8841E4A40","6.8599933681293","52.23843098402161","None","HCN100","1","2023-06-13 13:44:01.472705+02:00"
"97","a8:17:58:ff:fe:04:15:f5","-infinity","infinity","0101000020E6100000F8C71B3144701B40FD1EF223841E4A40","6.8596351311880355","52.23840760538403","None","HCWH111","1","2023-06-13 14:22:03.910261+02:00"
"98","a8:17:58:ff:fe:04:15:f6","-infinity","infinity","0101000020E6100000678B945930701B40023020AC851E4A40","6.8595594403185265","52.238454356876915","None","HCWH113","1","2023-06-13 14:22:09.957684+02:00"
"99","a8:17:58:ff:fe:04:15:f7","-infinity","infinity","0101000020E6100000005ACDFF93701B40E43A648D8C1E4A40","6.859939572247185","52.23866431612058","None","HCWH116","1","2023-06-13 14:30:06.703861+02:00"
"100","a8:17:58:ff:fe:03:62:ce","-infinity","infinity","0101000020E610000060CC738A3B6C1B407485A360AB1E4A40","6.855695880239267","52.23960502609671","None","UNKN01","1","2024-05-31 11:41:32.490109+02:00"
"101","a8:17:58:ff:fe:04:ba:1a","-infinity","infinity","None","None","None","None","UNKN02","0","2022-12-02 11:18:50.130574+01:00"
"102","a8:17:58:ff:fe:04:ba:1b","-infinity","infinity","None","None","None","None","UNKN03","0","2022-12-02 11:18:50.132322+01:00"
"103","a8:17:58:ff:fe:04:ba:1c","-infinity","infinity","None","None","None","None","UNKN04","0","2022-12-02 11:18:50.134213+01:00"
"104","a8:17:58:ff:fe:04:ba:1d","-infinity","infinity","None","None","None","None","UNKN05","0","2022-12-02 11:18:50.135978+01:00"
"105","a8:17:58:ff:fe:04:ba:1e","-infinity","infinity","None","None","None","None","UNKN06","0","2022-12-02 11:18:50.137858+01:00"
"106","a8:17:58:ff:fe:04:ba:1f","-infinity","infinity","None","None","None","None","UNKN07","0","2022-12-02 11:18:50.139702+01:00"
"107","a8:17:58:ff:fe:04:ba:20","-infinity","infinity","None","None","None","None","UNKN08","0","2022-12-02 11:18:50.141577+01:00"
"108","a8:17:58:ff:fe:04:ba:21","-infinity","infinity","None","None","None","None","UNKN09","0","2022-12-02 11:18:50.143378+01:00"
"109","33:34:37:39:72:37:90:08","-infinity","infinity","0101000020E6100000138E630A246C1B402586BC929A1E4A40","6.855606233908037","52.239092199375854","None","RA5108","5","2023-06-13 14:27:01.840312+02:00"
"110","35:34:31:36:51:37:8b:05","-infinity","infinity","None","None","None","None","UNKN10","0","2022-12-02 11:18:50.146703+01:00"
"111","35:34:31:36:54:37:7a:04","-infinity","infinity","0101000020E6100000244C22EFCC6B1B40486E8F219F1E4A40","6.855273949116086","52.239231295618595","None","RA4409","4","2023-06-13 14:26:57.216670+02:00"
"112","35:34:31:36:56:37:8b:05","-infinity","infinity","0101000020E6100000A9595B0F246C1B40629ED2929A1E4A40","6.855606307936264","52.23909220966449","None","RA3106","3","2023-06-13 14:23:08.452077+02:00"
"113","35:34:31:36:5a:37:7a:04","-infinity","infinity","0101000020E6100000AFF6ED05246C1B4058532D939A1E4A40","6.8556061674586735","52.23909225190317","None","RA2207","2","2023-06-13 14:22:41.751572+02:00"
"114","35:34:31:36:5b:37:6f:04","-infinity","infinity","0101000020E61000000FE3EA82D96B1B40A41D8690AB1E4A40","6.855321927629816","52.2396107344496","None","RA1342","1","2023-06-13 14:22:17.501547+02:00"
"115","35:34:31:36:5c:37:69:04","-infinity","infinity","0101000020E6100000103550A0CD6B1B404CB103DD9F1E4A40","6.855276589293922","52.23925364189435","None","RA3411","3","2023-06-13 14:23:15.922258+02:00"
"116","35:34:31:36:5c:37:6f:04","-infinity","infinity","0101000020E6100000226F5E93376C1B4044830EE1AA1E4A40","6.855680754317094","52.23958981712943","None","RA2502","2","2023-06-13 14:22:57.762182+02:00"
"117","35:34:31:36:5c:37:7a:04","-infinity","infinity","0101000020E610000001982D148D6C1B404B790DB8A71E4A40","6.856006922991583","52.23949337633038","None","RA1247","1","2023-06-13 14:22:12.688669+02:00"
